"latlon_1","latlon_2","minutes","metres"
"52.209025,0.118255","52.204115,0.11827",8.5,692
"52.209025,0.118255","52.213738,0.124159",9.4,771
"52.209025,0.118255","52.204222,0.120324",8.2,658
"52.209025,0.118255","52.207309,0.124159",7.8,650
"52.209025,0.118255","52.204932,0.127807",13.7,1130
"52.209025,0.118255","52.198334,0.142623",28.1,2308
"52.209025,0.118255","52.193371,0.133181",25.5,2080
"52.209025,0.118255","52.21817,0.146081",30.4,2453
"52.209025,0.118255","52.230666,0.138805",41.3,3348
"52.209025,0.118255","52.200288,0.14001",26.8,2193
"52.209025,0.118255","52.198979,0.134796",23.6,1925
"52.209025,0.118255","52.174445,0.111068",52.1,4245
"52.209025,0.118255","52.21381,0.127675",14.1,1123
"52.209025,0.118255","52.196295,0.125083",21,1719
"52.209025,0.118255","52.210223,0.115604",2.9,241
"52.209025,0.118255","52.200195,0.126718",14.4,1180
"52.209025,0.118255","52.196903,0.107245",23.6,1951
"52.209025,0.118255","52.186903,0.171259",64.2,5285
"52.209025,0.118255","52.198688,0.135513",24.9,2026
"52.209025,0.118255","52.213078,0.112826",8.6,645
"52.209025,0.118255","52.200132,0.134222",22.1,1798
"52.209025,0.118255","52.207484,0.125924",9.3,775
"52.209025,0.118255","52.19617,0.126028",22,1800
"52.209025,0.118255","52.202093,0.116213",10.9,901
"52.209025,0.118255","52.201027,0.125982",13.2,1074
"52.209025,0.118255","52.204605,0.137934",20.6,1665
"52.209025,0.118255","52.196092,0.155114",38.8,3207
"52.209025,0.118255","52.208346,0.133488",15.5,1246
"52.209025,0.118255","52.202987,0.138925",23.1,1871
"52.209025,0.118255","52.207449,0.122878",6.8,561
"52.209025,0.118255","52.221817,0.118453",25.1,1993
"52.209025,0.118255","52.215658,0.116916",11.9,961
"52.209025,0.118255","52.20279,0.123446",11.3,911
"52.209025,0.118255","52.210305,0.144955",28,2317
"52.209025,0.118255","52.212441,0.112782",7.3,550
"52.209025,0.118255","52.204852,0.1402",24.7,1993
"52.209025,0.118255","52.2047,0.133197",17.9,1469
"52.209025,0.118255","52.205447,0.128666",13.3,1095
"52.209025,0.118255","52.197151,0.12947",19.5,1586
"52.209025,0.118255","52.200312,0.148074",35.7,2928
"52.209025,0.118255","52.194151,0.131287",24.3,1976
"52.209025,0.118255","52.20174,0.124801",11.9,967
"52.209025,0.118255","52.202564,0.141934",27.2,2213
"52.209025,0.118255","52.2281,0.145945",37.2,3017
"52.209025,0.118255","52.200081,0.113542",15,1250
"52.209025,0.118255","52.215347,0.110694",12.3,938
"52.209025,0.118255","52.19519,0.131527",22.9,1863
"52.209025,0.118255","52.175104,0.112942",50.6,4116
"52.209025,0.118255","52.209395,0.118653",0.6,48
"52.209025,0.118255","52.207357,0.129475",12.1,973
"52.209025,0.118255","52.188419,0.152841",47.5,3908
"52.209025,0.118255","52.201476,0.116505",11.6,962
"52.209025,0.118255","52.222428,0.135906",26.6,2130
"52.209025,0.118255","52.209025,0.118255",0,0
"52.209025,0.118255","52.214511,0.124679",10.6,860
"52.209025,0.118255","52.210943,0.112564",6.1,496
"52.209025,0.118255","52.188744,0.138899",34,2772
"52.209025,0.118255","52.187377,0.147348",40.9,3368
"52.209025,0.118255","52.229653,0.127701",36.2,2902
"52.209025,0.118255","52.205707,0.134211",16.7,1361
"52.209025,0.118255","52.197912,0.123667",18.1,1472
"52.209025,0.118255","52.204654,0.13277",17.7,1456
"52.209025,0.118255","52.199286,0.139698",25.9,2117
"52.204115,0.11827","52.213738,0.124159",17.5,1463
"52.204115,0.11827","52.204222,0.120324",2.2,169
"52.204115,0.11827","52.207309,0.124159",8.1,684
"52.204115,0.11827","52.204932,0.127807",11,915
"52.204115,0.11827","52.198334,0.142623",24.3,2005
"52.204115,0.11827","52.193371,0.133181",21.7,1777
"52.204115,0.11827","52.21817,0.146081",34.6,2881
"52.204115,0.11827","52.230666,0.138805",49.5,4040
"52.204115,0.11827","52.200288,0.14001",23,1891
"52.204115,0.11827","52.198979,0.134796",19.8,1622
"52.204115,0.11827","52.174445,0.111068",45,3663
"52.204115,0.11827","52.21381,0.127675",21.6,1788
